Date_Local,NO2_AQI,NO2_Mean,O3_AQI,O3_Mean,SO2_AQI,SO2_Mean,CO_AQI,CO_Mean
10/1/2010,29,16.833333,41,0.024417,1,0.525,5,0.279167
10/2/2010,43,18.333333,45,0.0235,11,0.929167,6,0.275
10/3/2010,25,9.041667,31,0.024917,16,1.368182,6,0.241667
10/4/2010,18,9.833333,23,0.016458,9,0.683333,2,0.170833
10/5/2010,37,15.291667,31,0.015667,0,0.308333,3,0.225
10/6/2010,48,21.75,34,0.015333,1,0.754167,6,0.370833
10/7/2010,49,28.791667,42,0.020917,14,2.308333,6,0.333333
10/8/2010,42,17.458333,58,0.026375,1,0.709091,7,0.445833
10/9/2010,54,23.904762,58,0.023167,9,1.870833,11,0.620833
10/10/2010,48,21.166667,58,0.023833,1,0.763636,13,0.7
10/11/2010,47,21.375,51,0.024417,13,1.4,11,0.633333
10/12/2010,40,24.583333,46,0.021583,1,0.595455,5,0.329167
10/13/2010,45,23,41,0.0185,3,0.6625,7,0.4375
10/14/2010,38,19.125,33,0.020333,0,0.220833,6,0.295833
10/15/2010,41,22.416667,40,0.021125,7,1.091667,5,0.295833
10/16/2010,44,26.714286,40,0.01775,14,2.216667,7,0.404167
10/17/2010,48,20.5,46,0.02075,14,1.5,11,0.633333
10/18/2010,42,22.041667,49,0.022958,10,1.583333,11,0.625
10/19/2010,63,27.75,71,0.02475,9,1.413636,8,0.520833
10/20/2010,44,27,36,0.017125,13,1.4,8,0.416667
10/21/2010,51,25.375,43,0.019667,4,0.9,6,0.375
10/22/2010,46,27.708333,34,0.015417,1,0.65,8,0.470833
10/23/2010,34,18.047619,45,0.021958,3,1.025,13,0.680952
10/24/2010,25,10.291667,38,0.027,0,0.2625,6,0.3
10/25/2010,11,5.541667,20,0.016333,0,0.054167,2,0.2
10/26/2010,7,2.583333,16,0.014333,0,0.022727,2,0.145833
10/27/2010,17,8.041667,11,0.006667,0,0.020833,2,0.145833
10/28/2010,32,15.708333,20,0.013708,14,2.0125,5,0.2625
10/29/2010,36,18.666667,14,0.009375,30,4.158333,5,0.254167
10/30/2010,32,13.619048,37,0.017208,0,0.608333,8,0.4625
10/31/2010,37,13.875,38,0.017042,10,1.5875,14,0.683333
11/1/2010,30,13.083333,40,0.024333,1,0.791667,9,0.541667
11/2/2010,9,6.583333,25,0.02475,0,0.540909,3,0.216667
11/3/2010,17,10.083333,13,0.006958,0,0.171429,2,0.2
11/4/2010,15,11.125,19,0.014417,3,0.845833,3,0.229167
11/5/2010,21,13.791667,17,0.009792,3,0.645833,3,0.204167
11/6/2010,22,13.52381,23,0.012042,0,0.395833,3,0.258333
11/7/2010,34,17.166667,22,0.010167,6,1.345833,7,0.4125
11/8/2010,40,23.958333,24,0.011625,4,1.141667,7,0.404167
11/9/2010,42,26.708333,25,0.011833,3,1.118182,7,0.425
11/10/2010,48,22.041667,35,0.015333,1,1.2,10,0.629167
11/11/2010,53,24.291667,38,0.016333,1,1.220833,15,0.8875
11/12/2010,42,19.041667,34,0.015667,3,1.254167,14,0.745833
11/13/2010,36,19.047619,33,0.015125,6,1.479167,15,0.7875
11/14/2010,28,13.583333,35,0.0155,3,0.658333,14,0.691667
11/15/2010,21,12.916667,18,0.011583,0,0.116667,5,0.291667
11/16/2010,12,4.916667,25,0.026917,1,0.190909,2,0.1875
11/17/2010,32,14.083333,24,0.015708,6,0.8875,6,0.229167
11/18/2010,40,21.375,17,0.007708,6,1.3875,10,0.633333
11/19/2010,35,19.541667,27,0.012083,1,1.0125,11,0.6875
11/20/2010,35,19.571429,31,0.013333,1,0.754167,14,0.816667
11/21/2010,27,13.25,29,0.012792,1,0.636364,14,0.770833
11/22/2010,26,11.375,29,0.013792,1,0.358333,8,0.425
11/23/2010,18,10,21,0.011292,0,0.329167,8,0.445833
